"","kingdom","phylum","class","order","family","genus","species"
"gMOTU_14","Metazoa","Arthropoda","Insecta","Diptera","Limoniidae","Molophilus","Molophilus_griseus"
"gMOTU_20","Metazoa","Arthropoda","Insecta","Diptera","Tipulidae","Tipula","Tipula_sp._BOLD-2016"
"gMOTU_29","Metazoa","Arthropoda","Insecta","Hymenoptera","Cynipidae","Neuroterus","Neuroterus_quercusbaccarum"
"gMOTU_33","Metazoa","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","Hydropsyche_siltalai"
"gMOTU_39","Metazoa","Annelida","Clitellata","Haplotaxida","Lumbricidae","Lumbricus","Lumbricus_rubellus_complex_sp._B_SM-2016"
"gMOTU_40","Metazoa","Arthropoda","Insecta","Diptera","Tipulidae","Tipula","Tipula_parshleyi"
"gMOTU_45","Metazoa","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","Arion_intermedius"
"gMOTU_51","Metazoa","Arthropoda","Insecta","Diptera","Limoniidae","Austrolimnophila","Austrolimnophila_ochracea"
"gMOTU_59","Metazoa","Arthropoda","Diplopoda","Glomerida","Glomeridae","Glomeris","Glomeris_marginata"
"gMOTU_66","Metazoa","Arthropoda","Insecta","Lepidoptera","Yponomeutidae","Prays","Prays_oleae"
"gMOTU_68","Metazoa","Arthropoda","Insecta","Hymenoptera","Cynipidae","Neuroterus","Neuroterus_anthracinus"
"gMOTU_69","Metazoa","Arthropoda","Insecta","Lepidoptera","Hepialidae","Phymatopus","Phymatopus_hecta"
"gMOTU_85","Metazoa","Arthropoda","Insecta","Trichoptera","Sericostomatidae","Sericostoma","Sericostoma_personatum"
"gMOTU_88","Metazoa","Arthropoda","Insecta","Lepidoptera","Hepialidae","Pharmacis","Pharmacis_fusconebulosa"
"gMOTU_90","Metazoa","Arthropoda","Insecta","Hymenoptera","Cynipidae","Neuroterus","Neuroterus_numismalis"
"gMOTU_100","Metazoa","Arthropoda","Insecta","Lepidoptera","Gelechiidae","Exoteleia","Exoteleia_dodecella"
"gMOTU_104","Metazoa","Arthropoda","Insecta","Diptera","Limoniidae","Cheilotrichia","Cheilotrichia_cinerascens"
"gMOTU_107","Metazoa","Arthropoda","Insecta","Lepidoptera","Hepialidae","Hepialus","Hepialus_humuli"
"gMOTU_116","Metazoa","Arthropoda","Insecta","Hymenoptera","Cynipidae","Andricus","Andricus_curvator"
"gMOTU_117","Metazoa","Arthropoda","Insecta","Neuroptera","Hemerobiidae","Hemerobius","Hemerobius_humulinus"
"gMOTU_127","Metazoa","Arthropoda","Insecta","Coleoptera","Scirtidae","Elodes","Elodes_minuta"
"gMOTU_132","Metazoa","Annelida","Clitellata","Haplotaxida","Lumbricidae","Lumbricus","Lumbricus_festivus"
"gMOTU_136","Metazoa","Arthropoda","Insecta","Lepidoptera","Noctuidae","Autographa","Autographa_pulchrina"
"gMOTU_138","Metazoa","Arthropoda","Insecta","Trichoptera","Goeridae","Silo","Silo_pallipes"
"gMOTU_145","Metazoa","Arthropoda","Insecta","Diptera","Empididae","Rhamphomyia","Rhamphomyia_sp._S12"
"gMOTU_152","Metazoa","Arthropoda","Insecta","Lepidoptera","Tortricidae","Lozotaenia","Lozotaenia_forsterana"
"gMOTU_155","Metazoa","Arthropoda","Insecta","Diptera","Scathophagidae","Scathophaga","Scathophaga_sp._BIOUG01427-D12"
"gMOTU_159","Metazoa","Arthropoda","Insecta","Lepidoptera","Argyresthiidae","Argyresthia","Argyresthia_brockeella"
"gMOTU_162","Metazoa","Arthropoda","Insecta","Lepidoptera","Noctuidae","Anaplectoides","Anaplectoides_prasina"
"gMOTU_163","Metazoa","Arthropoda","Insecta","Diptera","Limoniidae","Rhipidia","Rhipidia_maculata"
"gMOTU_164","Metazoa","Arthropoda","Insecta","Hymenoptera","Braconidae","Pygostolus","Pygostolus_falcatus"
"gMOTU_169","Metazoa","Arthropoda","Arachnida","Araneae","Linyphiidae","Hypomma","Hypomma_cornutum"
"gMOTU_171","Metazoa","Arthropoda","Insecta","Trichoptera","Limnephilidae","Limnephilus","Limnephilus_sparsus"
"gMOTU_175","Metazoa","Arthropoda","Insecta","Lepidoptera","Tortricidae","Aethes","Aethes_rubigana"
"gMOTU_179","Metazoa","Arthropoda","Arachnida","Araneae","Clubionidae","Clubiona","Clubiona_comta"
"gMOTU_180","Metazoa","Arthropoda","Insecta","Diptera","Culicidae","Culiseta","Culiseta_morsitans"
"gMOTU_185","Metazoa","Arthropoda","Insecta","Diptera","Tipulidae","Tipula","Tipula_banffiana"
"gMOTU_186","Metazoa","Arthropoda","Insecta","Trichoptera","Phryganeidae","Trichostegia","Trichostegia_minor"
"gMOTU_200","Metazoa","Arthropoda","Insecta","Lepidoptera","Tortricidae","Capua","Capua_vulgana"
"gMOTU_204","Metazoa","Arthropoda","Insecta","Trichoptera","Limnephilidae","Limnephilus","Limnephilus_luridus"
"gMOTU_224","Metazoa","Arthropoda","Insecta","Lepidoptera","Plutellidae","Rhigognostis","Rhigognostis_incarnatella"
"gMOTU_226","Metazoa","Arthropoda","Insecta","Trichoptera","Limnephilidae","Limnephilus","Limnephilus_auricula"
"gMOTU_230","Metazoa","Arthropoda","Arachnida","Araneae","Theridiidae","Anelosimus","Anelosimus_vittatus"
"gMOTU_238","Metazoa","Arthropoda","Insecta","Hemiptera","Cicadellidae","Fagocyba","Fagocyba_douglasi"
"gMOTU_241","Metazoa","Arthropoda","Insecta","Lepidoptera","Tortricidae","Celypha","Celypha_cf._lacunana_BOLD-2016"
"gMOTU_258","Metazoa","Arthropoda","Insecta","Lepidoptera","Tortricidae","Apotomis","Apotomis_fraterculana"
"gMOTU_261","Metazoa","Arthropoda","Insecta","Lepidoptera","Oecophoridae","Endrosis","Endrosis_sarcitrella"
"gMOTU_271","Metazoa","Arthropoda","Insecta","Diptera","Tipulidae","Tipula","Tipula_luridorostris"
"gMOTU_274","Metazoa","Arthropoda","Insecta","Lepidoptera","Depressariidae","Agonopterix","Agonopterix_nervosa"
"gMOTU_278","Metazoa","Arthropoda","Insecta","Diptera","Limoniidae","Limonia","Limonia_trivittata"
"gMOTU_279","Metazoa","Arthropoda","Insecta","Lepidoptera","Geometridae","Thera","Thera_obeliscata"
"gMOTU_280","Metazoa","Arthropoda","Insecta","Hymenoptera","Braconidae","Pygostolus","Pygostolus_sticticus"
"gMOTU_281","Metazoa","Arthropoda","Insecta","Lepidoptera","Gracillariidae","Phyllonorycter","Phyllonorycter_maestingella"
"gMOTU_292","Metazoa","Arthropoda","Insecta","Diptera","Anisopodidae","Sylvicola","Sylvicola_fenestralis"
"gMOTU_319","Metazoa","Arthropoda","Insecta","Diptera","Ceratopogonidae","Bezzia","Bezzia_sp._5BH"
"gMOTU_336","Metazoa","Arthropoda","Insecta","Lepidoptera","Adelidae","Nematopogon","Nematopogon_metaxella"
"gMOTU_353","Metazoa","Arthropoda","Insecta","Trichoptera","Limnephilidae","Limnephilus","Limnephilus_vittatus"
"gMOTU_358","Metazoa","Arthropoda","Insecta","Lepidoptera","Gracillariidae","Phyllonorycter","Phyllonorycter_salicicolella"
"gMOTU_360","Metazoa","Arthropoda","Insecta","Lepidoptera","Bucculatricidae","Bucculatrix","Bucculatrix_demaryella"
"gMOTU_366","Metazoa","Arthropoda","Insecta","Diptera","Cecidomyiidae","Family_Cecidomyiidae","Family_Cecidomyiidae"
"gMOTU_370","Metazoa","Arthropoda","Insecta","Diptera","Scathophagidae","Scathophaga","Scathophaga_sp._BIOUG01428-B01"
"gMOTU_385","Metazoa","Arthropoda","Malacostraca","Isopoda","Porcellionidae","Porcellio","Porcellio_scaber"
"gMOTU_395","Metazoa","Arthropoda","Insecta","Trichoptera","Limnephilidae","Limnephilus","Limnephilus_flavicornis"
"gMOTU_409","Metazoa","Arthropoda","Insecta","Hymenoptera","Braconidae","Meteorus","Meteorus_pendulus"
"gMOTU_410","Metazoa","Arthropoda","Insecta","Hemiptera","Miridae","Phylus","Phylus_melanocephalus"
"gMOTU_420","Metazoa","Arthropoda","Insecta","Hymenoptera","Braconidae","Aleiodes","Aleiodes_pictus"
"gMOTU_422","Metazoa","Arthropoda","Insecta","Trichoptera","Phryganeidae","Phryganea","Phryganea_grandis"
"gMOTU_425","Metazoa","Arthropoda","Arachnida","Araneae","Anyphaenidae","Anyphaena","Anyphaena_accentuata"
